Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 2,Bsmt Unf SF,2nd Flr SF,Low Qual Fin SF,Full Bath,Half Bath,Bedroom AbvGr,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,anomaly,SalePrice,Neighborhood,Exterior 1st,Exterior 2nd,BsmtFin Type 1,Heating QC
10000,6,5,0.0,0.0,763.0,892,0,2,1,3,1,157,84,0,0,0,0,0,4,2010,1,175900,Gilbert,HdBoard,HdBoard,Unf,Gd
7980,6,7,0.0,0.0,233.0,0,0,2,0,3,0,483,21,0,0,0,0,500,3,2010,1,185000,Gilbert,HdBoard,HdBoard,ALQ,Ex
8402,6,5,0.0,0.0,789.0,676,0,2,1,3,1,0,75,0,0,0,0,0,5,2010,1,180400,Gilbert,VinylSd,VinylSd,Unf,Gd
10176,7,5,0.0,0.0,663.0,0,0,1,1,2,1,192,0,0,0,0,0,0,2,2010,1,171500,Gilbert,HdBoard,HdBoard,GLQ,Gd
6820,8,5,0.0,1120.0,0.0,0,0,1,1,1,0,0,54,0,0,140,0,0,6,2010,-1,212000,StoneBr,HdBoard,HdBoard,GLQ,TA
53504,8,5,603.0,0.0,234.0,1589,0,3,1,4,1,503,36,0,0,210,0,0,6,2010,-1,538000,StoneBr,CemntBd,Wd Shng,ALQ,Ex
12134,8,7,0.0,0.0,132.0,672,0,2,0,4,0,325,12,0,0,0,0,0,6,2010,1,164000,Gilbert,Wd Sdng,Wd Sdng,GLQ,Gd
11394,9,2,350.0,0.0,411.0,0,0,1,1,1,1,113,0,0,0,0,0,0,6,2010,1,394432,StoneBr,VinylSd,VinylSd,GLQ,Ex
19138,4,5,0.0,0.0,744.0,0,0,1,0,2,0,0,0,0,0,0,0,0,6,2010,1,141000,Gilbert,VinylSd,VinylSd,LwQ,Ex
13175,6,6,119.0,163.0,589.0,0,0,2,0,3,2,349,0,0,0,0,0,0,2,2010,1,210000,NWAmes,Plywood,Plywood,ALQ,TA
11751,6,6,480.0,0.0,1139.0,0,0,2,0,3,1,0,122,0,0,0,0,0,1,2010,1,190000,NWAmes,Plywood,Plywood,BLQ,Ex
10625,7,6,81.0,168.0,0.0,0,0,2,0,3,2,0,120,0,0,0,0,0,1,2010,1,170000,NWAmes,Plywood,Plywood,GLQ,TA
7500,7,5,0.0,0.0,281.0,860,0,2,1,3,0,0,96,0,0,0,0,0,1,2010,1,216000,Somerst,VinylSd,VinylSd,GLQ,Ex
11241,6,7,180.0,0.0,426.0,0,0,1,0,2,1,0,0,0,0,0,0,700,3,2010,1,149000,NAmes,Wd Sdng,Wd Sdng,ALQ,Ex
12537,5,6,0.0,0.0,344.0,0,0,1,1,3,1,0,0,0,0,0,0,0,4,2010,1,149900,NAmes,VinylSd,VinylSd,GLQ,Ex
8450,5,6,0.0,0.0,281.0,0,0,1,0,3,1,0,85,184,0,0,0,0,7,2010,1,142000,NAmes,VinylSd,VinylSd,BLQ,Ex
8400,4,5,0.0,78.0,0.0,0,0,1,0,2,0,240,0,0,0,0,0,0,4,2010,1,126000,NAmes,Plywood,Plywood,ALQ,TA
10500,4,5,0.0,0.0,432.0,0,0,1,0,3,1,0,0,0,0,0,0,0,4,2010,1,115000,NAmes,HdBoard,HdBoard,ALQ,TA
5858,7,5,0.0,0.0,354.0,0,0,2,0,2,1,203,68,0,0,0,0,0,6,2010,1,184000,NAmes,MetalSd,MetalSd,GLQ,Ex
1680,6,5,504.0,0.0,327.0,504,0,1,1,2,0,275,0,0,0,0,0,0,2,2010,1,96000,BrDale,HdBoard,HdBoard,Rec,TA
1680,5,5,492.0,0.0,225.0,567,0,1,1,3,0,0,0,0,0,0,0,0,3,2010,1,105500,BrDale,HdBoard,HdBoard,Rec,TA
1680,6,5,381.0,0.0,525.0,567,0,1,1,3,0,0,0,0,0,0,0,0,3,2010,1,88000,BrDale,HdBoard,ImStucc,Unf,TA
4043,6,5,0.0,0.0,709.0,0,0,2,0,2,1,0,55,0,0,165,0,0,7,2010,1,127500,NPkVill,Plywood,Plywood,ALQ,TA
2280,6,6,0.0,0.0,341.0,601,0,2,1,3,1,173,0,0,0,0,0,0,6,2010,1,149900,NPkVill,Plywood,Brk Cmn,ALQ,TA
2280,7,6,0.0,0.0,836.0,0,0,1,0,2,0,0,30,0,0,0,0,0,6,2010,1,120000,NPkVill,Plywood,Brk Cmn,Unf,Ex
2280,6,5,0.0,0.0,544.0,601,0,2,1,3,1,26,0,0,0,0,0,0,7,2010,1,146000,NPkVill,Plywood,Brk Cmn,ALQ,Fa
12858,9,5,162.0,0.0,1590.0,707,0,2,1,3,1,144,133,0,0,0,0,0,1,2010,1,376162,NridgHt,VinylSd,VinylSd,Unf,Ex
11478,8,5,200.0,0.0,486.0,0,0,2,0,3,1,0,50,0,0,0,0,0,5,2010,1,306000,NridgHt,VinylSd,VinylSd,GLQ,Ex
10159,9,5,450.0,0.0,284.0,0,0,2,1,3,1,168,95,0,0,0,0,0,4,2010,1,395192,NridgHt,VinylSd,VinylSd,GLQ,Ex
12883,8,5,256.0,0.0,1544.0,0,0,2,0,3,0,0,35,0,0,0,0,0,6,2010,1,290941,NridgHt,VinylSd,VinylSd,Unf,Ex
12182,7,5,226.0,0.0,340.0,0,0,2,0,3,1,0,70,0,0,0,0,0,5,2010,1,220000,NridgHt,VinylSd,VinylSd,BLQ,Ex
11520,9,5,615.0,0.0,1588.0,0,0,2,0,3,1,192,74,0,0,0,0,0,6,2010,1,275000,NridgHt,VinylSd,VinylSd,GLQ,Ex
14122,8,5,240.0,0.0,1794.0,0,0,2,0,3,1,0,119,0,0,0,0,0,2,2010,1,259000,NridgHt,CemntBd,CmentBd,GLQ,Ex
10171,7,5,168.0,0.0,1515.0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,2010,1,214000,NridgHt,VinylSd,VinylSd,GLQ,Ex
12919,9,5,760.0,0.0,142.0,0,0,2,1,2,2,0,67,0,0,0,0,0,3,2010,-1,611657,NridgHt,VinylSd,VinylSd,GLQ,Ex
6371,7,5,128.0,0.0,625.0,0,0,2,0,2,1,192,35,0,0,0,0,0,6,2010,1,224000,NridgHt,VinylSd,VinylSd,GLQ,Ex
14300,9,5,1095.0,0.0,1473.0,0,0,2,1,3,2,220,150,0,0,0,0,0,6,2010,-1,500000,NridgHt,VinylSd,VinylSd,GLQ,Ex
13650,8,5,232.0,0.0,1093.0,563,0,2,1,3,1,238,130,0,0,0,0,0,6,2010,1,320000,NridgHt,VinylSd,VinylSd,GLQ,Ex
7658,9,5,412.0,0.0,1296.0,0,0,2,0,2,1,196,82,0,0,0,0,0,2,2010,1,319900,NridgHt,MetalSd,MetalSd,GLQ,Ex
7132,8,5,178.0,0.0,1346.0,0,0,2,0,2,1,120,49,0,0,0,0,0,4,2010,1,205000,NridgHt,VinylSd,VinylSd,GLQ,Ex
2628,7,5,106.0,0.0,764.0,862,0,2,1,2,0,0,27,0,0,0,0,0,6,2010,1,175500,NridgHt,VinylSd,Wd Shng,Unf,Ex
18494,6,5,0.0,0.0,1324.0,0,0,2,0,3,0,36,23,0,0,0,0,0,1,2010,1,199500,Gilbert,VinylSd,VinylSd,Unf,Ex
3203,7,5,14.0,0.0,1129.0,0,0,2,0,2,0,100,116,0,0,0,0,0,1,2010,1,160000,Blmngtn,VinylSd,VinylSd,GLQ,Ex
3182,8,5,16.0,0.0,1232.0,0,0,2,0,2,1,146,20,0,0,144,0,0,4,2010,1,192000,Blmngtn,VinylSd,VinylSd,GLQ,Ex
13300,7,5,0.0,0.0,58.0,630,0,2,1,3,1,100,0,0,0,0,0,0,6,2010,1,184500,Gilbert,VinylSd,VinylSd,GLQ,Ex
7851,6,5,81.33333333333333,0.0,235.0,1100,0,2,1,4,2,288,48,0,0,0,0,0,5,2010,1,216500,Gilbert,VinylSd,VinylSd,GLQ,Ex
8577,7,5,0.0,0.0,847.0,886,0,2,1,3,1,144,48,0,0,0,0,0,4,2010,1,185088,Gilbert,VinylSd,VinylSd,Unf,Ex
7750,7,5,0.0,0.0,134.0,656,0,2,1,3,1,180,0,0,0,0,0,0,4,2010,1,180000,Gilbert,VinylSd,VinylSd,GLQ,Ex
9505,7,5,180.0,0.0,884.0,1151,0,2,1,3,1,144,48,0,0,0,0,0,5,2010,1,222500,Gilbert,VinylSd,VinylSd,Unf,Ex
14774,9,5,165.0,0.0,1393.0,1177,0,2,1,4,1,668,30,0,0,0,0,0,5,2010,1,333168,NoRidge,VinylSd,VinylSd,Unf,Ex
17433,8,5,114.0,0.0,1629.0,830,0,2,1,4,1,23,172,0,0,256,0,0,1,2010,-1,355000,NoRidge,VinylSd,VinylSd,Unf,Ex
10593,7,5,338.0,0.0,801.0,0,0,2,0,3,1,240,56,154,0,0,0,0,3,2010,1,260400,NoRidge,VinylSd,VinylSd,GLQ,Ex
12256,8,5,362.0,0.0,431.0,1122,0,2,1,3,2,186,32,0,0,0,0,0,4,2010,1,325000,NoRidge,HdBoard,HdBoard,GLQ,Ex
11764,8,7,348.0,0.0,628.0,1106,0,2,1,4,1,132,57,0,0,0,0,0,4,2010,1,290000,NoRidge,VinylSd,VinylSd,GLQ,Ex
16770,7,5,30.0,0.0,1195.0,644,0,2,1,4,0,0,81,0,0,0,0,0,6,2010,1,221000,NoRidge,VinylSd,VinylSd,Unf,Gd
14720,8,5,579.0,0.0,1217.0,1185,0,2,1,4,1,283,86,0,0,0,0,0,3,2010,1,410000,NoRidge,VinylSd,VinylSd,GLQ,Ex
8987,8,5,226.0,0.0,1595.0,0,0,2,0,2,1,144,0,0,0,0,0,0,5,2010,1,221500,Somerst,VinylSd,VinylSd,Unf,Ex
9215,7,5,0.0,0.0,1218.0,0,0,2,0,2,0,0,136,0,0,0,0,0,4,2010,1,204500,Somerst,VinylSd,VinylSd,Unf,Ex
8640,7,5,0.0,0.0,732.0,783,0,2,1,3,0,169,45,0,0,0,0,0,6,2010,1,215200,Somerst,VinylSd,VinylSd,GLQ,Ex
9000,8,5,36.0,0.0,488.0,0,0,2,0,3,0,144,168,0,0,0,0,0,4,2010,1,262500,Somerst,VinylSd,VinylSd,GLQ,Ex
12552,7,5,0.0,0.0,769.0,956,0,2,1,3,1,0,136,0,0,0,0,0,5,2010,1,254900,Somerst,VinylSd,VinylSd,GLQ,Ex
10440,6,5,0.0,0.0,54.0,0,0,2,0,2,1,0,102,0,0,216,0,0,5,2010,1,271500,Somerst,VinylSd,VinylSd,GLQ,Ex
10142,7,5,0.0,0.0,300.0,1128,0,2,1,4,0,0,45,0,0,0,0,0,1,2010,1,233000,SawyerW,VinylSd,VinylSd,GLQ,Ex
11920,7,5,122.0,0.0,831.0,828,0,2,1,3,0,144,68,0,0,0,0,0,4,2010,1,181000,SawyerW,VinylSd,VinylSd,Unf,Ex
8880,7,5,0.0,0.0,253.0,888,0,2,1,3,2,0,130,0,0,0,0,0,5,2010,1,205000,SawyerW,VinylSd,VinylSd,GLQ,Ex
8012,6,5,0.0,119.0,261.0,0,0,2,0,2,1,80,0,0,0,0,0,0,5,2010,1,143000,SawyerW,Plywood,Plywood,BLQ,TA
11218,6,5,0.0,0.0,1055.0,790,0,2,1,3,1,635,104,0,0,0,0,400,5,2010,1,189000,SawyerW,Wd Sdng,Wd Sdng,Unf,Ex
7892,6,5,0.0,0.0,918.0,0,0,2,0,2,1,28,0,0,0,0,0,0,4,2010,1,99500,SawyerW,Plywood,Plywood,Unf,TA
7175,6,5,0.0,121.0,0.0,0,0,1,0,2,0,353,0,0,0,90,0,0,2,2010,1,125000,SawyerW,Plywood,Plywood,ALQ,TA
9453,7,7,0.0,0.0,594.0,730,0,2,1,3,0,370,70,0,238,0,0,0,2,2010,1,194500,SawyerW,HdBoard,HdBoard,BLQ,Ex
9672,6,5,0.0,0.0,702.0,0,0,2,0,3,0,0,0,0,0,0,0,0,5,2010,1,152000,SawyerW,HdBoard,Plywood,GLQ,TA
8400,6,6,130.0,0.0,650.0,676,0,2,1,3,1,0,50,0,0,204,0,0,4,2010,1,171000,SawyerW,HdBoard,HdBoard,Unf,TA
9800,5,5,0.0,0.0,816.0,0,0,1,0,2,0,121,0,80,0,0,0,0,4,2010,1,67500,SawyerW,Wd Sdng,Wd Sdng,Unf,TA
8930,6,5,0.0,0.0,0.0,584,0,2,0,4,0,0,0,0,0,0,0,0,4,2010,1,112000,Sawyer,VinylSd,VinylSd,nan,TA
11782,5,7,0.0,0.0,210.0,0,0,1,0,3,0,192,0,0,0,0,0,400,6,2010,1,148000,Sawyer,HdBoard,HdBoard,ALQ,TA
8450,5,8,0.0,117.0,224.0,0,0,1,0,3,1,416,144,0,0,0,0,0,4,2010,1,138500,Sawyer,MetalSd,MetalSd,GLQ,Ex
9819,5,5,31.0,0.0,432.0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,2010,1,122000,Sawyer,MetalSd,MetalSd,BLQ,TA
7500,5,5,0.0,0.0,216.0,0,0,1,1,3,0,0,0,220,0,0,0,0,6,2010,1,133000,Sawyer,HdBoard,HdBoard,ALQ,Fa
6897,5,8,0.0,0.0,381.0,0,0,1,1,3,0,0,104,0,0,0,0,0,4,2010,1,127000,Sawyer,HdBoard,HdBoard,ALQ,Ex
15410,6,6,250.0,859.0,223.0,0,0,2,0,3,2,296,0,186,0,0,0,0,4,2010,-1,169000,Sawyer,Plywood,Plywood,BLQ,Ex
10186,7,5,0.0,0.0,76.0,862,0,2,1,3,1,240,39,0,0,0,0,0,6,2010,1,190000,NoRidge,HdBoard,HdBoard,GLQ,Ex
13143,8,5,504.0,981.0,0.0,1098,0,2,1,4,1,32,130,0,0,0,0,0,6,2010,1,362500,NoRidge,HdBoard,ImStucc,LwQ,Ex
11134,8,5,180.0,0.0,261.0,823,0,2,1,4,1,198,30,0,0,0,0,0,6,2010,1,285000,NoRidge,HdBoard,HdBoard,GLQ,Ex
4835,7,5,0.0,0.0,190.0,0,0,2,0,2,1,168,50,0,0,0,0,0,3,2010,1,260000,Somerst,MetalSd,MetalSd,GLQ,Ex
3515,7,5,0.0,0.0,840.0,840,0,2,1,2,0,0,111,0,0,0,0,0,1,2010,1,190000,Somerst,VinylSd,VinylSd,Unf,Ex
3215,7,5,120.0,0.0,320.0,600,0,2,1,2,0,0,172,0,0,0,0,0,4,2010,1,155000,Somerst,MetalSd,MetalSd,GLQ,Ex
3182,7,5,0.0,0.0,600.0,600,0,2,1,2,0,0,172,0,0,0,0,0,6,2010,1,151000,Somerst,MetalSd,MetalSd,Unf,Ex
2544,7,5,0.0,42.0,190.0,600,0,2,1,2,0,0,172,0,0,0,0,0,2,2010,1,149500,Somerst,MetalSd,MetalSd,GLQ,Ex
2544,6,5,216.0,0.0,224.0,636,0,2,1,2,0,0,166,0,0,0,0,0,5,2010,1,152000,Somerst,VinylSd,VinylSd,GLQ,Ex
4403,7,5,432.0,0.0,892.0,0,0,2,1,2,1,0,144,0,0,0,0,0,6,2010,1,222000,Somerst,MetalSd,MetalSd,GLQ,Ex
2117,6,5,216.0,0.0,378.0,804,0,2,1,3,0,0,32,0,0,0,0,0,6,2010,1,177500,Somerst,MetalSd,MetalSd,GLQ,Ex
2980,6,5,1159.0,0.0,290.0,756,0,2,1,2,0,0,32,0,0,0,0,0,5,2010,1,177000,Somerst,MetalSd,MetalSd,GLQ,Ex
2572,7,5,0.0,0.0,92.0,720,0,2,1,3,0,0,44,0,0,0,0,0,5,2010,1,155000,Somerst,MetalSd,MetalSd,ALQ,Ex
2403,7,5,0.0,0.0,286.0,550,0,2,1,2,0,0,50,0,0,0,0,0,6,2010,1,147110,Somerst,VinylSd,VinylSd,GLQ,Ex
12853,8,5,0.0,0.0,610.0,0,0,1,1,1,1,160,192,0,224,0,0,0,4,2010,1,267916,Somerst,CemntBd,CmentBd,GLQ,Ex
7379,8,5,0.0,0.0,491.0,873,0,2,1,3,1,280,184,0,0,0,0,0,4,2010,1,254000,Somerst,VinylSd,VinylSd,GLQ,Ex
4420,8,5,0.0,0.0,0.0,0,0,1,0,1,1,133,42,0,0,0,0,0,6,2010,1,155000,Greens,Wd Sdng,Wd Sdng,GLQ,TA
3880,8,6,0.0,0.0,174.0,0,0,1,0,1,1,223,78,0,0,0,0,0,1,2010,1,206000,Greens,Wd Sdng,Plywood,GLQ,TA
13517,6,8,289.0,0.0,192.0,754,0,2,1,3,0,0,44,0,0,0,0,0,3,2010,1,130500,Sawyer,HdBoard,Plywood,GLQ,Ex
8000,7,5,0.0,0.0,659.0,0,0,2,0,3,1,277,137,0,0,0,0,0,4,2010,1,230000,Somerst,VinylSd,VinylSd,GLQ,Ex
10456,6,6,120.0,0.0,1323.0,0,0,2,0,4,0,0,76,0,0,0,0,0,5,2010,1,218500,NWAmes,HdBoard,HdBoard,GLQ,Gd
10791,6,5,0.0,0.0,143.0,1215,0,2,1,4,1,224,32,0,0,0,0,0,3,2010,1,243500,NWAmes,MetalSd,MetalSd,GLQ,Ex
10603,6,7,28.0,0.0,410.0,0,0,2,0,3,2,168,68,0,0,0,0,0,2,2010,1,205000,NWAmes,Plywood,Plywood,ALQ,Gd
18837,6,5,0.0,46.0,491.0,604,0,3,0,3,1,0,69,0,0,0,0,0,4,2010,1,212500,NWAmes,MetalSd,MetalSd,ALQ,TA
10421,7,5,42.0,0.0,586.0,734,0,2,1,3,1,228,66,156,0,0,0,500,3,2010,1,196500,NWAmes,HdBoard,HdBoard,GLQ,TA
9360,6,7,0.0,0.0,179.0,0,0,1,1,3,1,0,0,0,0,0,0,0,3,2010,1,197500,NWAmes,Plywood,Plywood,ALQ,TA
9600,6,6,0.0,0.0,386.0,715,0,1,2,4,0,0,78,0,0,0,0,0,6,2010,1,171000,NWAmes,MetalSd,MetalSd,ALQ,TA
9600,5,5,172.0,0.0,534.0,0,0,1,1,3,0,0,224,0,0,0,0,0,4,2010,1,142250,NAmes,VinylSd,VinylSd,Rec,TA
9790,6,5,451.0,81.0,678.0,0,0,1,1,3,2,0,26,0,0,0,0,0,6,2010,1,143000,NWAmes,HdBoard,HdBoard,ALQ,TA
9320,4,5,0.0,0.0,381.0,0,0,1,1,3,0,352,0,0,0,0,0,400,1,2010,1,128950,NAmes,Plywood,Plywood,ALQ,Fa
9900,5,5,0.0,0.0,150.0,0,0,1,0,3,0,0,0,120,0,0,0,0,4,2010,1,159000,NAmes,HdBoard,HdBoard,BLQ,Gd
9680,5,6,268.0,0.0,500.0,0,0,2,0,3,0,0,40,0,0,204,0,0,4,2010,1,178900,NAmes,Wd Sdng,Plywood,BLQ,Ex
10600,6,5,0.0,0.0,533.0,644,0,2,0,3,0,0,172,0,0,0,0,0,5,2010,1,136300,NAmes,HdBoard,HdBoard,Unf,TA
14112,5,7,86.0,0.0,138.0,0,0,1,0,3,1,227,0,0,0,0,0,0,4,2010,1,180500,NAmes,Wd Sdng,HdBoard,GLQ,TA
8800,6,7,156.0,0.0,173.0,0,0,1,0,3,0,120,0,0,0,0,0,0,5,2010,1,137500,NAmes,MetalSd,MetalSd,GLQ,Ex
13260,5,6,144.0,0.0,228.0,0,0,2,0,6,0,0,0,0,0,0,0,0,1,2010,1,84900,NAmes,HdBoard,HdBoard,BLQ,TA
9717,5,6,0.0,1029.0,0.0,0,0,1,0,2,0,366,0,112,0,0,0,0,4,2010,1,142125,NAmes,MetalSd,MetalSd,GLQ,Gd
9724,5,7,265.0,0.0,470.0,532,0,2,0,3,2,0,0,0,0,0,0,0,3,2010,1,197600,NAmes,MetalSd,MetalSd,LwQ,Gd
17360,6,6,340.0,0.0,482.0,537,0,2,0,3,1,0,0,150,0,0,0,0,1,2010,1,172500,NAmes,MetalSd,MetalSd,Rec,TA
7207,5,7,0.0,0.0,162.0,0,0,1,0,2,0,117,0,0,0,0,0,0,2,2010,1,116500,BrkSide,Wd Sdng,Plywood,BLQ,Gd
5350,3,2,0.0,0.0,728.0,0,0,1,0,3,0,263,0,0,0,0,0,450,5,2010,1,76500,BrkSide,Wd Sdng,Plywood,Unf,Ex
9920,5,5,110.0,290.0,412.0,0,0,1,0,3,0,0,0,164,0,0,0,0,2,2010,1,128000,NAmes,HdBoard,HdBoard,Rec,TA
9600,6,6,164.0,132.0,350.0,0,0,1,0,3,2,0,0,189,0,0,0,0,3,2010,1,153000,NAmes,AsbShng,AsbShng,BLQ,Ex
7800,5,6,200.0,0.0,728.0,0,0,1,0,2,1,0,98,0,0,0,0,0,3,2010,1,132000,NAmes,HdBoard,HdBoard,LwQ,Gd
11380,6,8,216.0,0.0,136.0,0,0,1,0,2,1,238,0,0,0,0,0,1500,1,2010,-1,178000,NAmes,HdBoard,HdBoard,GLQ,Gd
11600,5,5,361.0,0.0,662.0,1169,0,2,0,5,0,0,0,0,0,0,0,0,1,2010,1,154300,NAmes,MetalSd,MetalSd,Rec,TA
19900,7,5,287.0,0.0,1035.0,0,0,2,0,3,1,301,0,0,0,0,0,0,7,2010,1,180000,NAmes,Plywood,Plywood,GLQ,TA
16492,6,6,0.0,713.0,557.0,0,0,2,1,2,1,0,0,0,0,0,0,0,6,2010,1,190000,NAmes,BrkFace,Plywood,ALQ,Ex
8267,5,5,0.0,0.0,1604.0,0,0,2,0,4,0,42,0,0,0,0,0,0,3,2010,1,135000,NAmes,HdBoard,HdBoard,Unf,TA
8197,7,5,506.0,0.0,292.0,0,0,2,0,3,0,252,73,0,0,0,0,300,2,2010,1,214000,NAmes,VinylSd,VinylSd,GLQ,Ex
8050,5,5,150.0,162.0,125.0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,2010,1,136000,NAmes,MetalSd,MetalSd,BLQ,TA
10552,5,5,0.0,0.0,380.0,0,0,1,1,4,1,0,38,0,0,0,0,0,4,2010,1,165500,NAmes,BrkFace,BrkFace,Rec,Gd
8400,5,6,0.0,0.0,392.0,0,0,1,0,3,0,250,0,0,0,0,0,0,6,2010,1,145000,NAmes,MetalSd,MetalSd,Rec,TA
8760,6,6,220.0,0.0,1194.0,0,0,1,0,3,0,0,0,120,0,0,0,0,4,2010,1,148000,NAmes,MetalSd,MetalSd,Unf,TA
12160,5,5,180.0,0.0,188.0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,2010,1,142000,NAmes,Plywood,Plywood,Rec,Fa
9300,5,5,324.0,0.0,571.0,0,0,1,0,3,2,0,0,0,0,143,0,0,4,2010,1,167500,NAmes,MetalSd,HdBoard,Rec,TA
10725,5,5,91.0,0.0,270.0,0,0,1,0,3,0,0,21,0,0,0,0,0,5,2010,1,108538,NAmes,MetalSd,MetalSd,Rec,Fa
10032,6,5,432.0,0.0,510.0,0,0,1,1,3,2,0,28,0,0,160,0,0,6,2010,1,159500,NAmes,Wd Sdng,Wd Sdng,Rec,Ex
8382,4,5,0.0,0.0,832.0,505,0,1,0,3,0,0,0,0,0,0,0,0,2,2010,1,108000,NAmes,MetalSd,MetalSd,Unf,TA
10950,5,7,0.0,0.0,525.0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,2010,1,135000,NAmes,WdShing,Wd Shng,BLQ,TA
10895,5,6,0.0,0.0,324.0,0,0,1,0,3,0,0,0,205,0,0,0,0,6,2010,1,122500,NAmes,MetalSd,MetalSd,Rec,TA
13587,5,5,0.0,0.0,456.0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,2010,1,119000,NAmes,MetalSd,MetalSd,Rec,TA
7922,5,7,0.0,0.0,326.0,0,0,1,0,3,0,0,52,0,0,0,0,0,1,2010,1,109000,NAmes,VinylSd,VinylSd,GLQ,TA
7898,4,7,0.0,0.0,576.0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,2010,1,105000,NAmes,MetalSd,MetalSd,Unf,Gd
7200,5,7,0.0,0.0,0.0,0,0,1,0,2,1,0,0,0,0,0,0,0,4,2010,1,107500,NAmes,VinylSd,VinylSd,nan,Ex
10200,5,7,104.0,362.0,404.0,0,0,1,0,3,0,0,0,0,0,0,0,0,5,2010,1,144900,NAmes,Wd Sdng,Wd Sdng,ALQ,Gd
5868,5,7,0.0,240.0,448.0,0,0,1,0,2,0,0,0,80,0,160,0,0,5,2010,1,129000,NAmes,MetalSd,MetalSd,BLQ,Ex
17503,6,5,0.0,0.0,912.0,546,0,1,0,3,1,192,0,0,0,0,0,0,1,2010,1,97500,NAmes,VinylSd,VinylSd,Unf,TA
6979,6,5,0.0,0.0,0.0,0,0,0,0,0,0,264,56,0,0,0,0,600,6,2010,1,144000,OldTown,Plywood,Plywood,GLQ,Gd
9830,5,7,0.0,258.0,733.0,0,0,1,0,3,1,364,17,0,0,182,0,0,3,2010,1,162000,NAmes,Wd Sdng,Wd Sdng,ALQ,Ex
11275,7,7,300.0,0.0,710.0,1080,0,2,1,5,1,240,0,0,0,0,0,0,6,2010,1,242000,NAmes,Wd Sdng,Wd Sdng,Unf,Ex
8064,6,8,0.0,174.0,161.0,408,0,1,0,3,0,414,0,0,0,0,0,0,5,2010,1,132000,NAmes,WdShing,Wd Shng,ALQ,TA
7500,5,7,0.0,906.0,0.0,0,0,1,1,3,0,218,0,0,0,0,0,0,5,2010,1,154000,NAmes,BrkFace,BrkFace,LwQ,Ex
8520,5,4,0.0,0.0,403.0,475,0,2,0,4,0,0,0,0,0,0,0,0,6,2010,1,166000,NAmes,BrkFace,Wd Sdng,Rec,Fa
7200,5,7,0.0,486.0,180.0,0,0,1,0,3,0,222,32,0,0,0,0,0,5,2010,1,134800,NAmes,Wd Sdng,Wd Sdng,BLQ,TA
10000,6,6,261.0,0.0,1116.0,0,0,1,1,3,0,0,0,0,0,385,0,0,2,2010,1,160000,NAmes,Wd Sdng,Wd Sdng,Unf,TA
