Lot Area,Overall Qual,Mas Vnr Area,Bsmt Unf SF,2nd Flr SF,Full Bath,Fireplaces,Wood Deck SF,Open Porch SF,Mo Sold,SalePrice,anomaly
9360,6,0.0,179.0,0,1,1,0,0,3,197500,1
9600,6,0.0,386.0,715,1,0,0,78,6,171000,1
9600,5,172.0,534.0,0,1,0,0,224,4,142250,1
9790,6,451.0,678.0,0,1,2,0,26,6,143000,1
9320,4,0.0,381.0,0,1,0,352,0,1,128950,1
9900,5,0.0,150.0,0,1,0,0,0,4,159000,1
9680,5,268.0,500.0,0,2,0,0,40,4,178900,1
10600,6,0.0,533.0,644,2,0,0,172,5,136300,1
14112,5,86.0,138.0,0,1,1,227,0,4,180500,1
8800,6,156.0,173.0,0,1,0,120,0,5,137500,1
13260,5,144.0,228.0,0,2,0,0,0,1,84900,1
9717,5,0.0,0.0,0,1,0,366,0,4,142125,1
9724,5,265.0,470.0,532,2,2,0,0,3,197600,1
17360,6,340.0,482.0,537,2,1,0,0,1,172500,1
7207,5,0.0,162.0,0,1,0,117,0,2,116500,1
5350,3,0.0,728.0,0,1,0,263,0,5,76500,1
9920,5,110.0,412.0,0,1,0,0,0,2,128000,1
9600,6,164.0,350.0,0,1,2,0,0,3,153000,1
7800,5,200.0,728.0,0,1,1,0,98,3,132000,1
11380,6,216.0,136.0,0,1,1,238,0,1,178000,-1
11600,5,361.0,662.0,1169,2,0,0,0,1,154300,1
19900,7,287.0,1035.0,0,2,1,301,0,7,180000,1
16492,6,0.0,557.0,0,2,1,0,0,6,190000,1
8267,5,0.0,1604.0,0,2,0,42,0,3,135000,1
8197,7,506.0,292.0,0,2,0,252,73,2,214000,1
8050,5,150.0,125.0,0,1,0,0,0,5,136000,1
10552,5,0.0,380.0,0,1,1,0,38,4,165500,1
8400,5,0.0,392.0,0,1,0,250,0,6,145000,1
8760,6,220.0,1194.0,0,1,0,0,0,4,148000,1
12160,5,180.0,188.0,0,1,0,0,0,5,142000,1
9300,5,324.0,571.0,0,1,2,0,0,4,167500,1
10725,5,91.0,270.0,0,1,0,0,21,5,108538,1
10032,6,432.0,510.0,0,1,2,0,28,6,159500,1
8382,4,0.0,832.0,505,1,0,0,0,2,108000,1
10950,5,0.0,525.0,0,1,0,0,0,5,135000,1
10895,5,0.0,324.0,0,1,0,0,0,6,122500,1
13587,5,0.0,456.0,0,1,0,0,0,4,119000,1
7922,5,0.0,326.0,0,1,0,0,52,1,109000,1
7898,4,0.0,576.0,0,1,0,0,0,4,105000,1
7200,5,0.0,0.0,0,1,1,0,0,4,107500,1
10200,5,104.0,404.0,0,1,0,0,0,5,144900,1
5868,5,0.0,448.0,0,1,0,0,0,5,129000,1
17503,6,0.0,912.0,546,1,1,192,0,1,97500,1
6979,6,0.0,0.0,0,0,0,264,56,6,144000,1
9830,5,0.0,733.0,0,1,1,364,17,3,162000,1
11275,7,300.0,710.0,1080,2,1,240,0,6,242000,1
8064,6,0.0,161.0,408,1,0,414,0,5,132000,1
7500,5,0.0,0.0,0,1,0,218,0,5,154000,1
8520,5,0.0,403.0,475,2,0,0,0,6,166000,1
7200,5,0.0,180.0,0,1,0,222,32,5,134800,1
10000,6,261.0,1116.0,0,1,0,0,0,2,160000,1
7635,5,0.0,237.0,0,1,0,0,0,6,148000,1
9760,6,218.0,415.0,0,1,1,657,0,5,192000,-1
7700,6,351.0,756.0,788,1,1,0,124,6,155000,1
4800,4,771.0,661.0,687,1,2,84,0,1,80400,1
8800,4,0.0,576.0,348,1,0,0,160,6,96500,1
4485,5,0.0,357.0,0,1,1,51,0,5,109500,1
8960,5,0.0,1008.0,0,1,1,0,0,3,115000,1
5805,5,0.0,0.0,0,1,0,0,0,6,143000,1
5790,3,0.0,840.0,765,2,0,0,0,5,107400,1
4608,4,0.0,747.0,0,1,0,0,0,6,80000,1
7200,5,294.0,278.0,0,1,2,0,0,2,119000,1
5500,5,0.0,0.0,0,1,0,0,0,4,130000,1
6900,6,0.0,827.0,424,1,0,0,0,1,119000,1
11851,5,0.0,247.0,606,1,1,0,100,6,129000,1
8239,5,0.0,832.0,185,1,0,0,0,3,100000,1
9656,2,0.0,678.0,0,1,1,0,0,6,12789,1
8520,6,0.0,624.0,0,1,0,106,0,5,105900,1
9600,8,0.0,930.0,636,2,0,54,228,4,150000,1
10800,5,0.0,0.0,686,2,0,0,0,6,139000,1
9000,8,0.0,346.0,1111,3,0,0,108,4,240000,1
9045,5,0.0,840.0,1128,2,0,0,18,6,76500,1
7407,6,0.0,312.0,0,1,0,0,158,4,149700,1
7740,4,0.0,622.0,622,1,0,0,0,6,125500,1
11340,4,0.0,777.0,1044,2,0,0,0,4,122500,1
10560,6,0.0,455.0,602,1,0,0,0,6,140750,1
5830,5,0.0,200.0,582,1,0,0,0,3,128500,1
7793,7,0.0,634.0,908,1,1,0,0,5,209500,1
5000,4,0.0,577.0,0,1,0,135,0,4,87000,1
6000,6,0.0,144.0,524,1,0,0,0,4,134000,1
6000,6,0.0,308.0,348,1,2,0,0,3,128000,1
6360,5,300.0,316.0,498,1,2,0,0,3,132000,1
6000,6,0.0,480.0,636,1,0,221,0,3,139900,1
6240,5,0.0,252.0,492,1,0,306,0,5,123900,1
6240,5,0.0,480.0,608,2,1,0,10,3,138400,1
6120,6,0.0,164.0,0,1,1,0,0,3,109500,1
10300,7,0.0,576.0,808,2,0,12,11,4,140000,1
8094,4,0.0,888.0,1074,1,1,160,0,6,149500,1
12900,6,0.0,780.0,780,1,0,344,0,5,159900,1
3068,6,0.0,662.0,662,1,0,0,0,2,122000,1
8472,5,0.0,0.0,0,1,0,106,0,5,110000,1
5600,4,0.0,0.0,720,2,0,0,0,7,55000,1
7630,5,0.0,360.0,780,2,1,344,0,5,140000,1
24090,7,0.0,1032.0,1196,2,2,56,0,6,244400,-1
15263,5,90.0,656.0,0,2,2,0,132,5,173000,1
10632,5,0.0,689.0,499,1,0,0,0,1,107500,1
9900,5,0.0,186.0,180,1,0,0,0,2,100000,1
6001,6,0.0,232.0,319,1,0,0,0,3,95000,1
6449,4,0.0,634.0,942,1,0,0,0,3,93369,-1
6048,5,0.0,120.0,744,2,1,56,144,6,114900,1
6342,5,0.0,780.0,240,1,0,0,0,5,94000,1
10773,4,72.0,1128.0,0,2,0,0,58,5,136000,1
10778,4,0.0,1768.0,0,2,0,0,0,4,136500,1
11625,5,0.0,198.0,0,1,0,0,0,4,131500,1
11341,5,180.0,90.0,0,1,1,0,0,5,121500,1
8521,5,0.0,70.0,0,1,1,0,0,5,125000,1
8246,5,0.0,204.0,0,1,1,406,90,5,154000,1
7800,5,47.0,150.0,0,1,0,0,0,6,137900,1
9364,6,143.0,292.0,689,1,0,379,36,3,158000,1
7832,5,0.0,89.0,0,1,0,226,0,5,137250,1
7424,5,0.0,0.0,0,1,2,0,0,5,160250,1
11227,5,0.0,0.0,720,1,2,192,38,3,163000,1
11616,6,328.0,234.0,714,2,1,335,0,4,158900,1
14000,7,0.0,105.0,954,2,0,296,44,4,328000,1
20062,7,0.0,328.0,0,1,2,496,0,4,270000,1
9259,4,0.0,660.0,0,1,0,80,0,6,85000,1
9600,4,0.0,625.0,0,2,0,290,0,2,128000,1
23595,7,0.0,74.0,192,0,1,268,0,4,260000,1
17082,6,288.0,153.0,864,2,1,336,104,5,230000,1
18600,3,0.0,0.0,558,2,1,0,0,6,124000,-1
10625,5,0.0,350.0,0,1,0,0,0,5,83000,1
11479,6,0.0,172.0,0,1,1,0,52,6,144500,1
9571,5,0.0,405.0,0,1,0,44,0,6,129000,1
9350,4,0.0,564.0,0,1,1,0,0,6,127000,1
9525,5,0.0,218.0,0,1,0,240,0,6,128000,1
10420,6,0.0,1176.0,0,2,0,100,22,3,186000,1
17485,7,96.0,162.0,0,1,2,0,0,1,308030,1
11200,5,0.0,1250.0,0,2,0,0,144,6,114000,1
11100,4,0.0,0.0,0,1,0,0,0,4,84900,1
9206,6,336.0,741.0,755,2,1,192,46,6,178000,1
11980,7,177.0,0.0,0,1,2,0,278,6,270000,-1
12361,6,85.0,86.0,838,2,1,450,92,5,218000,1
9938,7,246.0,300.0,887,2,1,156,90,6,236000,1
9069,6,0.0,189.0,0,1,0,120,0,4,147000,1
10475,8,72.0,1694.0,0,2,0,160,33,2,245350,1
6762,7,24.0,501.0,0,2,0,105,61,2,206000,1
10402,7,0.0,1226.0,0,2,0,0,36,5,198900,1
7360,7,80.0,1198.0,0,2,0,0,54,3,187000,1
12376,7,0.0,203.0,1523,3,2,367,0,5,320000,-1
14235,6,0.0,676.0,614,2,0,0,59,3,138500,1
8816,6,80.0,506.0,0,1,0,0,0,6,155000,1
11105,5,0.0,0.0,0,1,0,71,0,7,159000,1
9337,7,0.0,525.0,800,2,1,0,39,4,191000,1
8750,6,116.0,299.0,878,2,0,0,77,6,200500,1
15240,5,0.0,140.0,0,1,0,316,85,6,150000,1
10900,6,153.0,311.0,703,1,0,0,36,3,161750,1
10650,5,0.0,0.0,0,1,0,365,0,2,128200,1
7480,5,0.0,396.0,0,1,0,0,0,6,127000,1
10389,8,320.0,296.0,0,2,1,188,25,5,318000,1
11423,8,479.0,223.0,0,2,1,180,0,5,272000,1
9548,7,223.0,458.0,888,2,1,192,39,1,237000,1
9375,7,0.0,1040.0,1054,2,1,331,38,4,240000,1
12137,7,442.0,1649.0,0,2,0,0,34,5,224900,1
4435,6,170.0,176.0,0,1,0,140,0,4,143750,1
4426,6,169.0,186.0,0,1,0,160,0,5,143000,1
10635,8,171.0,315.0,0,2,1,0,262,5,232000,1
8400,7,109.0,761.0,0,2,0,0,35,5,213000,1
8773,7,98.0,1390.0,0,2,0,132,105,5,185500,1
8777,3,0.0,0.0,0,1,0,0,0,4,84900,1
8842,5,0.0,381.0,0,1,0,60,0,1,155891,1
9825,5,0.0,0.0,0,2,0,0,0,5,100000,1
10044,5,0.0,126.0,0,1,0,257,0,6,144000,1
11792,4,0.0,744.0,328,1,0,0,0,6,64000,1
6305,6,0.0,480.0,0,1,1,0,0,6,125200,1
7819,6,0.0,480.0,0,1,1,144,0,3,107000,1
6410,4,0.0,960.0,0,1,0,0,0,5,90000,1
8546,4,0.0,1121.0,0,2,0,132,64,3,140000,1
8741,6,0.0,641.0,689,1,1,0,140,4,113000,1
12180,4,0.0,324.0,252,1,0,0,0,7,80000,1
8562,5,145.0,833.0,0,1,1,116,78,5,144500,1
4853,5,203.0,974.0,0,2,1,0,0,5,104000,1
6858,6,0.0,806.0,806,1,0,0,66,5,128000,1
8212,3,0.0,661.0,0,1,0,0,0,6,58500,1
5000,5,0.0,808.0,665,2,1,0,0,5,127000,1
7890,6,0.0,618.0,0,1,1,0,0,3,126000,1
7200,4,0.0,0.0,1788,3,0,0,0,2,160000,-1
9839,5,0.0,894.0,772,1,1,0,156,5,100000,1
9638,6,0.0,804.0,748,2,1,272,0,3,169000,1
10452,7,371.0,850.0,908,1,2,0,0,7,257500,1
15600,5,430.0,657.0,1075,2,0,0,0,3,215000,1
9042,7,0.0,877.0,1152,2,2,0,60,5,266500,-1
17500,7,0.0,496.0,0,2,2,0,207,5,335000,1
19645,7,44.0,80.0,756,2,0,0,0,6,203135,1
3907,8,0.0,235.0,0,1,1,141,36,4,185000,1
3907,8,0.0,1115.0,0,2,1,112,81,3,162500,1
15602,7,0.0,254.0,0,2,2,0,54,3,289000,1
5436,4,0.0,61.0,358,1,0,0,96,5,125500,1
8154,2,0.0,0.0,0,1,0,0,0,4,82000,1
9140,6,0.0,321.0,380,1,0,0,56,4,110000,1
7500,4,0.0,698.0,430,1,0,30,0,4,68400,1
8712,4,0.0,859.0,319,1,0,68,0,1,102776,1
8712,5,0.0,540.0,0,1,0,0,0,6,55993,1
8712,4,0.0,756.0,0,1,0,0,0,6,50138,1
3811,8,186.0,221.0,0,2,1,128,53,5,246000,1
11050,8,0.0,434.0,880,2,1,0,70,5,254900,1
9620,6,0.0,564.0,0,2,1,375,26,5,190000,1
9196,7,0.0,1560.0,0,2,0,100,150,4,201000,1
12328,6,335.0,473.0,0,1,0,0,0,5,169900,1
12760,6,0.0,1958.0,0,3,0,0,0,3,170000,1
57200,5,0.0,60.0,0,1,2,0,0,6,160000,1
11896,7,60.0,1258.0,0,2,1,100,48,5,220000,1
9803,7,0.0,1214.0,0,2,0,0,25,1,179781,1
9802,5,0.0,384.0,700,2,0,100,0,4,174000,1
12003,8,84.0,774.0,1194,2,1,0,75,5,269500,1
11316,7,44.0,193.0,1070,2,1,0,40,2,214900,1
14191,8,0.0,967.0,915,2,0,135,0,4,202900,1
13214,9,0.0,2002.0,0,2,1,144,76,5,378500,1
15300,5,0.0,1026.0,0,1,1,0,0,6,169000,1
10114,5,0.0,1430.0,0,2,0,0,0,3,173500,1
9400,6,0.0,912.0,912,2,0,128,0,4,139000,1
11875,5,0.0,1344.0,0,2,1,328,0,6,166500,1
1974,4,0.0,212.0,546,1,0,120,96,5,83500,1
2394,5,0.0,30.0,0,1,1,174,0,5,119500,1
2592,5,0.0,175.0,576,1,0,182,0,4,85000,1
1476,4,0.0,370.0,546,1,0,200,26,3,76000,1
1491,4,0.0,0.0,0,1,0,96,24,5,75500,1
1900,4,0.0,546.0,546,1,0,0,0,6,88250,1
1890,4,0.0,252.0,546,1,0,0,0,6,85500,1
6953,5,0.0,395.0,0,1,0,0,0,6,130000,1
26142,5,189.0,595.0,0,1,0,261,39,4,157900,1
12887,5,0.0,36.0,0,1,0,431,0,4,149900,1
7700,5,0.0,1216.0,1216,4,0,200,0,2,159000,-1
10475,5,0.0,166.0,650,1,0,22,0,3,136000,1
10544,5,0.0,388.0,615,2,0,287,0,4,161000,1
9892,8,0.0,54.0,0,2,2,129,64,2,285000,1
12961,6,0.0,208.0,645,2,1,162,312,3,231000,1
13008,6,0.0,318.0,0,1,0,0,0,10,124500,1
10200,6,440.0,590.0,0,2,1,80,21,6,157000,1
13860,8,0.0,542.0,704,2,3,269,111,7,345000,1
10179,6,0.0,98.0,663,2,1,252,30,7,189500,1
11792,8,188.0,158.0,1275,2,1,120,46,8,270000,1
8400,7,32.0,100.0,670,2,1,48,72,6,189000,1
14892,9,160.0,426.0,0,2,2,201,39,10,377500,1
8530,7,22.0,384.0,670,2,1,120,72,5,168500,1
7296,8,0.0,243.0,0,2,1,182,57,11,375000,1
5664,8,0.0,343.0,0,2,1,212,59,10,278000,1
7380,8,0.0,1077.0,0,2,0,168,43,7,240000,1
8013,8,0.0,846.0,0,2,0,52,50,9,239500,1
8923,7,0.0,195.0,631,2,1,256,0,2,177500,1
10141,7,40.0,832.0,833,2,1,0,94,12,185000,1
7500,6,0.0,476.0,684,2,1,0,84,10,191000,1
7837,6,0.0,799.0,772,2,1,0,40,5,178000,1
9765,6,68.0,370.0,790,2,1,232,63,4,185000,1
8803,6,0.0,107.0,809,2,1,0,46,7,181316,1
7250,6,45.0,1181.0,0,2,1,0,21,11,166000,1
9636,6,0.0,808.0,785,2,1,342,40,12,178000,1
8125,6,0.0,702.0,779,2,1,0,36,3,174000,1
9248,6,106.0,598.0,0,2,0,120,26,7,173000,1
10762,7,344.0,284.0,978,2,1,0,0,5,225000,1
11851,7,0.0,1424.0,0,2,0,0,34,5,180500,1
5814,8,0.0,184.0,0,1,1,63,0,8,187500,1
17423,9,748.0,312.0,0,2,1,0,60,7,501837,1
11844,8,464.0,2046.0,0,2,1,322,82,7,372500,1
16158,7,16.0,256.0,0,2,1,168,36,6,260000,1
11900,5,157.0,722.0,988,2,1,0,176,7,185000,1
13005,7,278.0,153.0,1200,2,1,288,195,8,260000,1
17043,6,0.0,1362.0,0,2,1,192,0,1,181000,1
11900,7,209.0,564.0,0,2,1,192,0,4,82500,1
16635,6,126.0,356.0,0,2,1,240,0,6,215000,1
13250,7,256.0,832.0,896,2,1,192,192,5,154000,1
10928,6,101.0,1064.0,0,2,1,252,55,8,200000,1
12388,7,229.0,441.0,1134,2,1,178,84,8,249000,1
14115,7,225.0,336.0,0,2,2,233,48,6,187500,1
11088,6,144.0,308.0,0,2,1,0,0,5,184000,1
9600,8,0.0,1420.0,0,2,1,474,120,7,278000,1
11880,7,206.0,567.0,0,2,1,0,0,4,157000,1
10400,7,189.0,1090.0,0,2,1,0,0,6,152000,1
10304,5,44.0,399.0,780,2,1,448,96,10,197500,1
7000,7,0.0,304.0,868,2,1,0,35,6,240900,1
8004,8,110.0,288.0,1103,2,0,0,150,12,263435,1
7500,8,0.0,1058.0,816,2,1,0,134,3,220000,1
8470,8,0.0,471.0,839,2,1,225,48,10,235000,1
9373,5,161.0,120.0,0,2,2,0,0,6,213000,1
10140,6,196.0,228.0,0,2,1,0,0,4,167900,1
11050,7,0.0,540.0,0,2,1,40,0,8,158000,1
10140,6,174.0,1064.0,0,2,1,0,0,8,165000,1
10448,6,333.0,689.0,741,2,1,0,104,8,158000,1
9000,5,0.0,896.0,896,2,0,32,45,9,136000,1
8750,5,76.0,174.0,0,1,0,0,0,8,148500,1
7930,6,0.0,115.0,0,1,0,171,48,7,156000,1
7830,5,0.0,1180.0,0,1,0,0,45,3,128000,1
8510,5,178.0,543.0,0,1,0,0,0,7,143000,1
7038,4,0.0,138.0,0,1,0,210,0,9,76500,1
6960,4,0.0,250.0,0,1,0,96,0,11,120500,1
8120,4,0.0,673.0,0,1,0,0,0,7,124500,1
10500,4,0.0,160.0,0,1,0,216,0,3,97000,1
9000,4,0.0,624.0,0,1,0,200,0,7,130000,1
1680,6,504.0,229.0,504,1,0,0,0,7,111000,1
2368,5,312.0,0.0,600,1,0,0,36,5,125000,1
1680,5,142.0,630.0,672,2,0,0,0,5,112000,1
1680,6,425.0,79.0,504,1,0,0,0,7,97000,1
1680,6,510.0,321.0,504,1,0,250,0,5,118000,1
1680,5,268.0,399.0,672,2,0,185,0,2,119500,1
4928,6,0.0,0.0,0,2,0,0,60,10,143750,1
2308,6,0.0,498.0,744,2,1,108,0,9,146000,1
2280,6,0.0,289.0,601,2,1,87,0,7,148500,1
2280,7,0.0,0.0,0,2,1,0,27,8,123000,1
2308,6,0.0,103.0,467,2,1,260,0,6,147000,1
2349,6,0.0,466.0,601,2,1,0,28,5,137900,1
2364,6,0.0,484.0,744,2,1,108,0,7,147000,1
2289,6,0.0,544.0,586,2,1,28,0,4,148500,1
2364,6,0.0,576.0,601,2,1,147,0,4,138000,1
2104,7,0.0,300.0,0,1,0,150,20,10,128500,1
7150,5,60.0,460.0,0,1,0,0,0,7,100000,1
10710,5,165.0,220.0,0,1,1,0,162,7,148800,1
12456,10,230.0,528.0,0,2,1,216,48,7,337500,1
14257,9,726.0,416.0,978,3,3,135,64,6,462000,-1
13518,9,860.0,1926.0,1174,3,2,144,78,7,485000,-1
15431,10,200.0,788.0,0,2,2,0,72,4,555000,1
13173,9,300.0,80.0,0,2,2,404,102,11,325000,1
14230,8,640.0,1566.0,0,2,1,0,56,7,256300,1
12704,8,306.0,2042.0,0,2,1,0,90,8,253293,1
12350,9,0.0,379.0,1325,2,1,0,197,7,398800,1
11308,9,154.0,168.0,1054,2,1,0,102,7,335000,1
12350,9,450.0,788.0,0,2,1,192,98,5,404000,1
12220,10,305.0,570.0,0,2,1,156,54,9,402861,1
13478,10,420.0,384.0,568,2,1,382,274,6,451950,1
13693,10,472.0,342.0,0,2,2,360,50,3,610000,1
13891,9,424.0,1734.0,1088,3,1,52,170,1,582933,-1
11578,9,302.0,1736.0,0,2,1,319,90,7,360000,1
16870,8,238.0,251.0,0,2,2,99,82,4,296000,1
23303,8,20.0,278.0,1012,2,1,192,273,6,409900,1
11146,8,250.0,1709.0,0,2,1,169,39,7,255500,1
10367,9,284.0,724.0,0,2,1,168,45,6,335000,1
9591,8,262.0,625.0,0,2,1,0,26,1,274900,1
10872,9,122.0,467.0,0,2,1,184,52,2,300000,1
13514,9,285.0,632.0,0,2,1,200,26,3,324000,1
8834,9,216.0,292.0,762,2,1,184,0,6,350000,1
11362,8,42.0,797.0,0,2,1,125,185,3,280000,1
10655,8,296.0,1603.0,0,2,1,0,0,10,284000,1
12878,7,418.0,498.0,0,2,1,165,190,6,269500,1
9541,7,268.0,1502.0,0,2,0,0,114,9,233170,1
13472,10,922.0,2336.0,0,2,1,248,105,6,386250,1
15274,9,724.0,480.0,0,2,1,0,116,7,445000,1
13262,8,186.0,1082.0,1295,3,1,114,40,6,290000,1
9658,8,383.0,1598.0,0,2,1,230,60,7,255900,1
6904,6,240.0,522.0,0,2,1,192,36,8,213000,1
5381,6,135.0,406.0,0,2,1,170,63,8,196000,1
5122,6,135.0,425.0,0,2,1,170,63,3,184500,1
10307,7,176.0,474.0,0,2,1,192,26,5,212500,1
5001,7,166.0,410.0,0,2,1,172,62,7,230000,1
